type;number of algorithm;size;operations;
рандом от 0 до 5_1;0;50;3916;
рандом от 0 до 5_1;1;50;6125;
рандом от 0 до 5_1;2;50;7503;
рандом от 0 до 5_1;3;50;11153;
рандом от 0 до 5_1;4;50;977;
рандом от 0 до 5_1;5;50;4470;
рандом от 0 до 5_1;6;50;2679;
рандом от 0 до 5_1;7;50;4143;
рандом от 0 до 5_1;8;50;1237;
рандом от 0 до 5_1;9;50;1678;
рандом от 0 до 5_1;10;50;3884;
рандом от 0 до 5_1;11;50;1237;
рандом от 0 до 5_1;12;50;1258;
рандом от 0 до 5_1;0;100;15088;
рандом от 0 до 5_1;1;100;24750;
рандом от 0 до 5_1;2;100;29287;
рандом от 0 до 5_1;3;100;44173;
рандом от 0 до 5_1;4;100;1927;
рандом от 0 до 5_1;5;100;10485;
рандом от 0 до 5_1;6;100;11479;
рандом от 0 до 5_1;7;100;9400;
рандом от 0 до 5_1;8;100;3771;
рандом от 0 до 5_1;9;100;2328;
рандом от 0 до 5_1;10;100;15262;
рандом от 0 до 5_1;11;100;2740;
рандом от 0 до 5_1;12;100;3085;
рандом от 0 до 5_1;0;150;33616;
рандом от 0 до 5_1;1;150;55875;
рандом от 0 до 5_1;2;150;61138;
рандом от 0 до 5_1;3;150;102038;
рандом от 0 до 5_1;4;150;2877;
рандом от 0 до 5_1;5;150;16238;
рандом от 0 до 5_1;6;150;26554;
рандом от 0 до 5_1;7;150;15077;
рандом от 0 до 5_1;8;150;6723;
рандом от 0 до 5_1;9;150;2978;
рандом от 0 до 5_1;10;150;34160;
рандом от 0 до 5_1;11;150;4432;
рандом от 0 до 5_1;12;150;5420;
рандом от 0 до 5_1;0;200;56132;
рандом от 0 до 5_1;1;200;99500;
рандом от 0 до 5_1;2;200;117193;
рандом от 0 до 5_1;3;200;178006;
рандом от 0 до 5_1;4;200;3827;
рандом от 0 до 5_1;5;200;23096;
рандом от 0 до 5_1;6;200;45094;
рандом от 0 до 5_1;7;200;20998;
рандом от 0 до 5_1;8;200;10105;
рандом от 0 до 5_1;9;200;3628;
рандом от 0 до 5_1;10;200;60542;
рандом от 0 до 5_1;11;200;6144;
рандом от 0 до 5_1;12;200;7146;
рандом от 0 до 5_1;0;250;83554;
рандом от 0 до 5_1;1;250;155625;
рандом от 0 до 5_1;2;250;186662;
рандом от 0 до 5_1;3;250;277489;
рандом от 0 до 5_1;4;250;4777;
рандом от 0 до 5_1;5;250;29634;
рандом от 0 до 5_1;6;250;67299;
рандом от 0 до 5_1;7;250;27009;
рандом от 0 до 5_1;8;250;15481;
рандом от 0 до 5_1;9;250;4278;
рандом от 0 до 5_1;10;250;94432;
рандом от 0 до 5_1;11;250;8132;
рандом от 0 до 5_1;12;250;8727;
рандом от 0 до 5_1;0;300;118735;
рандом от 0 до 5_1;1;300;224250;
рандом от 0 до 5_1;2;300;268958;
рандом от 0 до 5_1;3;300;392235;
рандом от 0 до 5_1;4;300;5727;
рандом от 0 до 5_1;5;300;37797;
рандом от 0 до 5_1;6;300;95669;
рандом от 0 до 5_1;7;300;33520;
рандом от 0 до 5_1;8;300;20195;
рандом от 0 до 5_1;9;300;4928;
рандом от 0 до 5_1;10;300;135807;
рандом от 0 до 5_1;11;300;10032;
рандом от 0 до 5_1;12;300;12215;
рандом от 0 до 4000_1;0;50;3916;
рандом от 0 до 4000_1;1;50;6125;
рандом от 0 до 4000_1;2;50;7503;
рандом от 0 до 4000_1;3;50;11153;
рандом от 0 до 4000_1;4;50;977;
рандом от 0 до 4000_1;5;50;4470;
рандом от 0 до 4000_1;6;50;2679;
рандом от 0 до 4000_1;7;50;4143;
рандом от 0 до 4000_1;8;50;1237;
рандом от 0 до 4000_1;9;50;1678;
рандом от 0 до 4000_1;10;50;3884;
рандом от 0 до 4000_1;11;50;1237;
рандом от 0 до 4000_1;12;50;1258;
рандом от 0 до 4000_1;0;100;15088;
рандом от 0 до 4000_1;1;100;24750;
рандом от 0 до 4000_1;2;100;29287;
рандом от 0 до 4000_1;3;100;44173;
рандом от 0 до 4000_1;4;100;1927;
рандом от 0 до 4000_1;5;100;10485;
рандом от 0 до 4000_1;6;100;11479;
рандом от 0 до 4000_1;7;100;9400;
рандом от 0 до 4000_1;8;100;3771;
рандом от 0 до 4000_1;9;100;2328;
рандом от 0 до 4000_1;10;100;15262;
рандом от 0 до 4000_1;11;100;2740;
рандом от 0 до 4000_1;12;100;3085;
рандом от 0 до 4000_1;0;150;33616;
рандом от 0 до 4000_1;1;150;55875;
рандом от 0 до 4000_1;2;150;61138;
рандом от 0 до 4000_1;3;150;102038;
рандом от 0 до 4000_1;4;150;2877;
рандом от 0 до 4000_1;5;150;16238;
рандом от 0 до 4000_1;6;150;26554;
рандом от 0 до 4000_1;7;150;15077;
рандом от 0 до 4000_1;8;150;6723;
рандом от 0 до 4000_1;9;150;2978;
рандом от 0 до 4000_1;10;150;34160;
рандом от 0 до 4000_1;11;150;4432;
рандом от 0 до 4000_1;12;150;5420;
рандом от 0 до 4000_1;0;200;56132;
рандом от 0 до 4000_1;1;200;99500;
рандом от 0 до 4000_1;2;200;117193;
рандом от 0 до 4000_1;3;200;178006;
рандом от 0 до 4000_1;4;200;3827;
рандом от 0 до 4000_1;5;200;23096;
рандом от 0 до 4000_1;6;200;45094;
рандом от 0 до 4000_1;7;200;20998;
рандом от 0 до 4000_1;8;200;10105;
рандом от 0 до 4000_1;9;200;3628;
рандом от 0 до 4000_1;10;200;60542;
рандом от 0 до 4000_1;11;200;6144;
рандом от 0 до 4000_1;12;200;7146;
рандом от 0 до 4000_1;0;250;83554;
рандом от 0 до 4000_1;1;250;155625;
рандом от 0 до 4000_1;2;250;186662;
рандом от 0 до 4000_1;3;250;277489;
рандом от 0 до 4000_1;4;250;4777;
рандом от 0 до 4000_1;5;250;29634;
рандом от 0 до 4000_1;6;250;67299;
