type;number of algorithm;size;time;
рандом от 0 до 5_1;0;50;5728;
рандом от 0 до 5_1;1;50;16476;
рандом от 0 до 5_1;2;50;17280;
рандом от 0 до 5_1;3;50;18970;
рандом от 0 до 5_1;4;50;4773;
рандом от 0 до 5_1;5;50;7711;
рандом от 0 до 5_1;6;50;5106;
рандом от 0 до 5_1;7;50;6390;
рандом от 0 до 5_1;8;50;3589;
рандом от 0 до 5_1;9;50;2582;
рандом от 0 до 5_1;10;50;10286;
рандом от 0 до 5_1;11;50;2752;
рандом от 0 до 5_1;12;50;2418;
рандом от 0 до 5_1;0;100;16605;
рандом от 0 до 5_1;1;100;51437;
рандом от 0 до 5_1;2;100;45397;
рандом от 0 до 5_1;3;100;50688;
рандом от 0 до 5_1;4;100;4228;
рандом от 0 до 5_1;5;100;11489;
рандом от 0 до 5_1;6;100;12382;
рандом от 0 до 5_1;7;100;12071;
рандом от 0 до 5_1;8;100;10660;
рандом от 0 до 5_1;9;100;3940;
рандом от 0 до 5_1;10;100;35065;
рандом от 0 до 5_1;11;100;6906;
рандом от 0 до 5_1;12;100;7182;
рандом от 0 до 5_1;0;150;39525;
рандом от 0 до 5_1;1;150;165263;
рандом от 0 до 5_1;2;150;149902;
рандом от 0 до 5_1;3;150;178802;
рандом от 0 до 5_1;4;150;11291;
рандом от 0 до 5_1;5;150;30538;
рандом от 0 до 5_1;6;150;48161;
рандом от 0 до 5_1;7;150;23040;
рандом от 0 до 5_1;8;150;19218;
рандом от 0 до 5_1;9;150;6062;
рандом от 0 до 5_1;10;150;80194;
рандом от 0 до 5_1;11;150;11420;
рандом от 0 до 5_1;12;150;30875;
рандом от 0 до 5_1;0;200;178401;
рандом от 0 до 5_1;1;200;376414;
рандом от 0 до 5_1;2;200;328904;
рандом от 0 до 5_1;3;200;301060;
рандом от 0 до 5_1;4;200;15410;
рандом от 0 до 5_1;5;200;45420;
рандом от 0 до 5_1;6;200;83280;
рандом от 0 до 5_1;7;200;24257;
рандом от 0 до 5_1;8;200;22166;
рандом от 0 до 5_1;9;200;5440;
рандом от 0 до 5_1;10;200;108252;
рандом от 0 до 5_1;11;200;15876;
рандом от 0 до 5_1;12;200;18872;
рандом от 0 до 5_1;0;250;127331;
рандом от 0 до 5_1;1;250;439837;
рандом от 0 до 5_1;2;250;549225;
рандом от 0 до 5_1;3;250;534298;
рандом от 0 до 5_1;4;250;19856;
рандом от 0 до 5_1;5;250;60683;
рандом от 0 до 5_1;6;250;140520;
рандом от 0 до 5_1;7;250;46488;
рандом от 0 до 5_1;8;250;48474;
рандом от 0 до 5_1;9;250;9207;
рандом от 0 до 5_1;10;250;1119990;
рандом от 0 до 5_1;11;250;22010;
рандом от 0 до 5_1;12;250;24949;
рандом от 0 до 5_1;0;300;175806;
рандом от 0 до 5_1;1;300;735384;
рандом от 0 до 5_1;2;300;1502338;
рандом от 0 до 5_1;3;300;943922;
рандом от 0 до 5_1;4;300;31938;
рандом от 0 до 5_1;5;300;185789;
рандом от 0 до 5_1;6;300;223902;
рандом от 0 до 5_1;7;300;50255;
рандом от 0 до 5_1;8;300;380132;
рандом от 0 до 5_1;9;300;13850;
рандом от 0 до 5_1;10;300;373688;
рандом от 0 до 5_1;11;300;28445;
рандом от 0 до 5_1;12;300;38122;
рандом от 0 до 4000_1;0;50;6904;
рандом от 0 до 4000_1;1;50;18696;
рандом от 0 до 4000_1;2;50;20860;
рандом от 0 до 4000_1;3;50;26092;
рандом от 0 до 4000_1;4;50;4733;
рандом от 0 до 4000_1;5;50;8681;
рандом от 0 до 4000_1;6;50;6614;
рандом от 0 до 4000_1;7;50;7358;
рандом от 0 до 4000_1;8;50;4146;
рандом от 0 до 4000_1;9;50;3070;
рандом от 0 до 4000_1;10;50;10777;
рандом от 0 до 4000_1;11;50;3474;
рандом от 0 до 4000_1;12;50;3780;
рандом от 0 до 4000_1;0;100;28220;
рандом от 0 до 4000_1;1;100;83676;
рандом от 0 до 4000_1;2;100;625432;
рандом от 0 до 4000_1;3;100;435134;
рандом от 0 до 4000_1;4;100;9282;
рандом от 0 до 4000_1;5;100;20704;
рандом от 0 до 4000_1;6;100;28510;
рандом от 0 до 4000_1;7;100;18072;
рандом от 0 до 4000_1;8;100;13741;
рандом от 0 до 4000_1;9;100;5345;
рандом от 0 до 4000_1;10;100;46748;
рандом от 0 до 4000_1;11;100;8258;
рандом от 0 до 4000_1;12;100;9906;
рандом от 0 до 4000_1;0;150;50135;
рандом от 0 до 4000_1;1;150;132722;
рандом от 0 до 4000_1;2;150;119335;
рандом от 0 до 4000_1;3;150;165462;
рандом от 0 до 4000_1;4;150;12659;
рандом от 0 до 4000_1;5;150;35908;
рандом от 0 до 4000_1;6;150;68068;
рандом от 0 до 4000_1;7;150;30251;
рандом от 0 до 4000_1;8;150;27218;
рандом от 0 до 4000_1;9;150;7451;
рандом от 0 до 4000_1;10;150;107870;
рандом от 0 до 4000_1;11;150;14249;
рандом от 0 до 4000_1;12;150;17130;
рандом от 0 до 4000_1;0;200;135781;
рандом от 0 до 4000_1;1;200;299611;
рандом от 0 до 4000_1;2;200;224402;
рандом от 0 до 4000_1;3;200;238399;
рандом от 0 до 4000_1;4;200;9994;
рандом от 0 до 4000_1;5;200;27449;
рандом от 0 до 4000_1;6;200;57749;
рандом от 0 до 4000_1;7;200;24647;
рандом от 0 до 4000_1;8;200;25761;
рандом от 0 до 4000_1;9;200;6917;
рандом от 0 до 4000_1;10;200;111900;
рандом от 0 до 4000_1;11;200;12385;
рандом от 0 до 4000_1;12;200;14999;
рандом от 0 до 4000_1;0;250;140728;
рандом от 0 до 4000_1;1;250;418838;
рандом от 0 до 4000_1;2;250;586591;
рандом от 0 до 4000_1;3;250;415519;
рандом от 0 до 4000_1;4;250;10848;
рандом от 0 до 4000_1;5;250;40569;
рандом от 0 до 4000_1;6;250;94423;
рандом от 0 до 4000_1;7;250;30671;
рандом от 0 до 4000_1;8;250;40878;
рандом от 0 до 4000_1;9;250;5757;
рандом от 0 до 4000_1;10;250;150529;
рандом от 0 до 4000_1;11;250;17124;
рандом от 0 до 4000_1;12;250;17895;
рандом от 0 до 4000_1;0;300;124083;
рандом от 0 до 4000_1;1;300;613199;
