type;number of algorithm;size;operations;
рандом от 0 до 5_1;0;50;4020;
рандом от 0 до 5_1;1;50;6125;
рандом от 0 до 5_1;2;50;7398;
рандом от 0 до 5_1;3;50;9825;
рандом от 0 до 5_1;4;50;977;
рандом от 0 до 5_1;5;50;4420;
рандом от 0 до 5_1;6;50;2799;
рандом от 0 до 5_1;7;50;4126;
рандом от 0 до 5_1;8;50;1247;
рандом от 0 до 5_1;9;50;1682;
рандом от 0 до 5_1;10;50;3887;
рандом от 0 до 5_1;11;50;1149;
рандом от 0 до 5_1;12;50;1318;
рандом от 0 до 5_1;0;100;14557;
рандом от 0 до 5_1;1;100;24750;
рандом от 0 до 5_1;2;100;29643;
рандом от 0 до 5_1;3;100;43418;
рандом от 0 до 5_1;4;100;1927;
рандом от 0 до 5_1;5;100;10227;
рандом от 0 до 5_1;6;100;11194;
рандом от 0 до 5_1;7;100;9375;
рандом от 0 до 5_1;8;100;3369;
рандом от 0 до 5_1;9;100;2332;
рандом от 0 до 5_1;10;100;15286;
рандом от 0 до 5_1;11;100;2744;
рандом от 0 до 5_1;12;100;2950;
рандом от 0 до 5_1;0;150;31031;
рандом от 0 до 5_1;1;150;55875;
рандом от 0 до 5_1;2;150;67240;
рандом от 0 до 5_1;3;150;97794;
рандом от 0 до 5_1;4;150;2877;
рандом от 0 до 5_1;5;150;15966;
рандом от 0 до 5_1;6;150;24154;
рандом от 0 до 5_1;7;150;15039;
рандом от 0 до 5_1;8;150;6463;
рандом от 0 до 5_1;9;150;2982;
рандом от 0 до 5_1;10;150;34185;
рандом от 0 до 5_1;11;150;4388;
рандом от 0 до 5_1;12;150;5282;
рандом от 0 до 5_1;0;200;51372;
рандом от 0 до 5_1;1;200;99500;
рандом от 0 до 5_1;2;200;120918;
рандом от 0 до 5_1;3;200;176626;
рандом от 0 до 5_1;4;200;3827;
рандом от 0 до 5_1;5;200;23177;
рандом от 0 до 5_1;6;200;40514;
рандом от 0 до 5_1;7;200;20979;
