type;number of algorithm;size;time;
рандом от 0 до 5_1;0;50;8637;
рандом от 0 до 5_1;1;50;22074;
рандом от 0 до 5_1;2;50;20038;
рандом от 0 до 5_1;3;50;23096;
рандом от 0 до 5_1;4;50;5683;
рандом от 0 до 5_1;5;50;8598;
рандом от 0 до 5_1;6;50;6912;
рандом от 0 до 5_1;7;50;10003;
рандом от 0 до 5_1;8;50;6431;
рандом от 0 до 5_1;9;50;5836;
рандом от 0 до 5_1;10;50;14310;
рандом от 0 до 5_1;11;50;3913;
рандом от 0 до 5_1;12;50;4820;
рандом от 0 до 5_1;0;100;35899;
рандом от 0 до 5_1;1;100;90919;
рандом от 0 до 5_1;2;100;84707;
рандом от 0 до 5_1;3;100;97313;
рандом от 0 до 5_1;4;100;11601;
рандом от 0 до 5_1;5;100;136228;
рандом от 0 до 5_1;6;100;38166;
рандом от 0 до 5_1;7;100;43064;
рандом от 0 до 5_1;8;100;21711;
рандом от 0 до 5_1;9;100;13456;
рандом от 0 до 5_1;10;100;71772;
рандом от 0 до 5_1;11;100;19227;
рандом от 0 до 5_1;12;100;10163;
рандом от 0 до 5_1;0;150;76647;
рандом от 0 до 5_1;1;150;195063;
рандом от 0 до 5_1;2;150;200061;
рандом от 0 до 5_1;3;150;228096;
рандом от 0 до 5_1;4;150;18159;
рандом от 0 до 5_1;5;150;32438;
рандом от 0 до 5_1;6;150;65164;
рандом от 0 до 5_1;7;150;39129;
рандом от 0 до 5_1;8;150;23011;
рандом от 0 до 5_1;9;150;15147;
рандом от 0 до 5_1;10;150;93298;
рандом от 0 до 5_1;11;150;18958;
рандом от 0 до 5_1;12;150;19062;
рандом от 0 до 5_1;0;200;1061154;
рандом от 0 до 5_1;1;200;360715;
рандом от 0 до 5_1;2;200;364078;
рандом от 0 до 5_1;3;200;426047;
рандом от 0 до 5_1;4;200;21786;
рандом от 0 до 5_1;5;200;57736;
рандом от 0 до 5_1;6;200;895984;
рандом от 0 до 5_1;7;200;57666;
рандом от 0 до 5_1;8;200;39796;
рандом от 0 до 5_1;9;200;16825;
рандом от 0 до 5_1;10;200;174271;
рандом от 0 до 5_1;11;200;27616;
рандом от 0 до 5_1;12;200;26227;
рандом от 0 до 5_1;0;250;190938;
рандом от 0 до 5_1;1;250;553367;
рандом от 0 до 5_1;2;250;1410452;
рандом от 0 до 5_1;3;250;633596;
рандом от 0 до 5_1;4;250;27202;
рандом от 0 до 5_1;5;250;98450;
рандом от 0 до 5_1;6;250;781694;
рандом от 0 до 5_1;7;250;228879;
рандом от 0 до 5_1;8;250;51799;
рандом от 0 до 5_1;9;250;23622;
рандом от 0 до 5_1;10;250;306488;
рандом от 0 до 5_1;11;250;29930;
рандом от 0 до 5_1;12;250;32271;
рандом от 0 до 5_1;0;300;268989;
рандом от 0 до 5_1;1;300;1143452;
рандом от 0 до 5_1;2;300;983259;
рандом от 0 до 5_1;3;300;1171566;
рандом от 0 до 5_1;4;300;33862;
рандом от 0 до 5_1;5;300;96115;
рандом от 0 до 5_1;6;300;250041;
рандом от 0 до 5_1;7;300;95663;
рандом от 0 до 5_1;8;300;89698;
рандом от 0 до 5_1;9;300;79566;
рандом от 0 до 5_1;10;300;486222;
рандом от 0 до 5_1;11;300;72875;
рандом от 0 до 5_1;12;300;76201;
рандом от 0 до 4000_1;0;50;13067;
рандом от 0 до 4000_1;1;50;22830;
рандом от 0 до 4000_1;2;50;29827;
рандом от 0 до 4000_1;3;50;27004;
рандом от 0 до 4000_1;4;50;6076;
рандом от 0 до 4000_1;5;50;12765;
рандом от 0 до 4000_1;6;50;7675;
рандом от 0 до 4000_1;7;50;10957;
рандом от 0 до 4000_1;8;50;6521;
рандом от 0 до 4000_1;9;50;11715;
рандом от 0 до 4000_1;10;50;10907;
рандом от 0 до 4000_1;11;50;3922;
рандом от 0 до 4000_1;12;50;4847;
рандом от 0 до 4000_1;0;100;34621;
рандом от 0 до 4000_1;1;100;86609;
рандом от 0 до 4000_1;2;100;90877;
рандом от 0 до 4000_1;3;100;97730;
рандом от 0 до 4000_1;4;100;14251;
рандом от 0 до 4000_1;5;100;18733;
рандом от 0 до 4000_1;6;100;30439;
рандом от 0 до 4000_1;7;100;21583;
рандом от 0 до 4000_1;8;100;14865;
рандом от 0 до 4000_1;9;100;9382;
рандом от 0 до 4000_1;10;100;36783;
рандом от 0 до 4000_1;11;100;9352;
рандом от 0 до 4000_1;12;100;10940;
рандом от 0 до 4000_1;0;150;71376;
рандом от 0 до 4000_1;1;150;216451;
рандом от 0 до 4000_1;2;150;194722;
рандом от 0 до 4000_1;3;150;300579;
рандом от 0 до 4000_1;4;150;17011;
