Number of substitution;Size of text;Size_of_alphabet;Size of pattern;Type of algorithm;Time(ns)
0;10000;2;100;Наивный алгоритм;363119
0;10000;2;100;Алгоритм КМП с применением стандартных граней;278144
0;10000;2;100;Алгоритм КМП с применением уточненных граней;220623
0;10000;2;200;Наивный алгоритм;252033
0;10000;2;200;Алгоритм КМП с применением стандартных граней;277567
0;10000;2;200;Алгоритм КМП с применением уточненных граней;281188
0;10000;2;300;Наивный алгоритм;301955
0;10000;2;300;Алгоритм КМП с применением стандартных граней;333619
0;10000;2;300;Алгоритм КМП с применением уточненных граней;273236
0;10000;2;400;Наивный алгоритм;271852
0;10000;2;400;Алгоритм КМП с применением стандартных граней;1948681
0;10000;2;400;Алгоритм КМП с применением уточненных граней;274304
0;10000;2;500;Наивный алгоритм;297776
0;10000;2;500;Алгоритм КМП с применением стандартных граней;356156
0;10000;2;500;Алгоритм КМП с применением уточненных граней;274662
0;10000;2;600;Наивный алгоритм;249792
0;10000;2;600;Алгоритм КМП с применением стандартных граней;248639
0;10000;2;600;Алгоритм КМП с применением уточненных граней;301899
0;10000;2;700;Наивный алгоритм;243308
0;10000;2;700;Алгоритм КМП с применением стандартных граней;251302
0;10000;2;700;Алгоритм КМП с применением уточненных граней;316657
0;10000;2;800;Наивный алгоритм;249398
0;10000;2;800;Алгоритм КМП с применением стандартных граней;536124
0;10000;2;800;Алгоритм КМП с применением уточненных граней;407736
0;10000;2;900;Наивный алгоритм;344908
0;10000;2;900;Алгоритм КМП с применением стандартных граней;287262
0;10000;2;900;Алгоритм КМП с применением уточненных граней;259215
0;10000;2;1000;Наивный алгоритм;231384
0;10000;2;1000;Алгоритм КМП с применением стандартных граней;247492
0;10000;2;1000;Алгоритм КМП с применением уточненных граней;262778
0;10000;2;1100;Наивный алгоритм;213664
0;10000;2;1100;Алгоритм КМП с применением стандартных граней;300323
0;10000;2;1100;Алгоритм КМП с применением уточненных граней;321005
0;10000;2;1200;Наивный алгоритм;384403
0;10000;2;1200;Алгоритм КМП с применением стандартных граней;414593
0;10000;2;1200;Алгоритм КМП с применением уточненных граней;338364
0;10000;2;1300;Наивный алгоритм;310565
0;10000;2;1300;Алгоритм КМП с применением стандартных граней;344524
0;10000;2;1300;Алгоритм КМП с применением уточненных граней;314154
