Number of substitution;Size of text;Size of alphabet;Size of pattern;Type of algorithm;Time(ns)
0;10000;2;100;Наивный алгоритм;78824
0;10000;2;100;Алгоритм КМП с применением стандартных граней;68134
0;10000;2;100;Алгоритм КМП с применением уточненных граней;63947
0;10000;2;100;Поиск с применением автомата КМП;51765
0;10000;2;200;Наивный алгоритм;74686
0;10000;2;200;Алгоритм КМП с применением стандартных граней;65723
0;10000;2;200;Алгоритм КМП с применением уточненных граней;71757
0;10000;2;200;Поиск с применением автомата КМП;61580
0;10000;2;300;Наивный алгоритм;76472
0;10000;2;300;Алгоритм КМП с применением стандартных граней;82069
0;10000;2;300;Алгоритм КМП с применением уточненных граней;73524
0;10000;2;300;Поиск с применением автомата КМП;71786
0;10000;2;400;Наивный алгоритм;79076
0;10000;2;400;Алгоритм КМП с применением стандартных граней;68450
0;10000;2;400;Алгоритм КМП с применением уточненных граней;68441
0;10000;2;400;Поиск с применением автомата КМП;77545
0;10000;2;500;Наивный алгоритм;60899
0;10000;2;500;Алгоритм КМП с применением стандартных граней;91294
0;10000;2;500;Алгоритм КМП с применением уточненных граней;62325
0;10000;2;500;Поиск с применением автомата КМП;69314
0;10000;2;600;Наивный алгоритм;66153
0;10000;2;600;Алгоритм КМП с применением стандартных граней;61538
0;10000;2;600;Алгоритм КМП с применением уточненных граней;75660
0;10000;2;600;Поиск с применением автомата КМП;85953
0;10000;2;700;Наивный алгоритм;60589
0;10000;2;700;Алгоритм КМП с применением стандартных граней;67857
0;10000;2;700;Алгоритм КМП с применением уточненных граней;82167
0;10000;2;700;Поиск с применением автомата КМП;95603
0;10000;2;800;Наивный алгоритм;61316
0;10000;2;800;Алгоритм КМП с применением стандартных граней;67032
0;10000;2;800;Алгоритм КМП с применением уточненных граней;66193
0;10000;2;800;Поиск с применением автомата КМП;88180
0;10000;2;900;Наивный алгоритм;71027
0;10000;2;900;Алгоритм КМП с применением стандартных граней;61382
0;10000;2;900;Алгоритм КМП с применением уточненных граней;63565
0;10000;2;900;Поиск с применением автомата КМП;109721
0;10000;2;1000;Наивный алгоритм;67928
0;10000;2;1000;Алгоритм КМП с применением стандартных граней;75557
0;10000;2;1000;Алгоритм КМП с применением уточненных граней;68710
0;10000;2;1000;Поиск с применением автомата КМП;80832
