NumVertices,TimeDijkstra,TimeFloydWarshall,TimeBellmanFord
10,16117.6,41665.8,20412.2
60,969469,9.86469e+06,7.91778e+06
110,1.69658e+06,3.30374e+07,2.00104e+07
160,1.80968e+06,7.95044e+07,4.66626e+07
210,3.42712e+06,1.80016e+08,1.54519e+08
260,5.76309e+06,3.59791e+08,2.52555e+08
310,7.96792e+06,5.87155e+08,4.05198e+08
360,1.21939e+07,9.17593e+08,7.16124e+08
410,1.31042e+07,1.98022e+09,7.91024e+08
460,1.44012e+07,1.57635e+09,1.08925e+09
510,1.81776e+07,2.13521e+09,1.49467e+09
560,2.10215e+07,2.79463e+09,2.00927e+09
610,2.52267e+07,3.63382e+09,2.58678e+09
660,3.08252e+07,4.66426e+09,3.36084e+09
710,3.51175e+07,5.76428e+09,4.30833e+09
760,4.12462e+07,7.08217e+09,6.25823e+09
810,7.11171e+07,1.21897e+10,6.59834e+09
860,5.03904e+07,1.03391e+10,7.2439e+09
910,5.94827e+07,1.22023e+10,8.5627e+09
960,6.24551e+07,1.52062e+10,1.22218e+10
1010,1.52719e+08,2.01132e+10,1.69071e+10
