Graph,NumVertices,NumEdges,TimeDijkstra,TimeFloydWarshall,TimeBellmanFord,TimeAStar
Complete,10,45,1068.4,2871.2,1277.2,371.2
Connected,10,15,1463,2640.6,645.4,230.8
Sparse,10,9,1494,2304,399.8,425.8
Complete,60,1770,24684,433084,330983,4859.8
Connected,60,708,16825.8,321148,127701,661.6
Sparse,60,59,11967.6,260999,7603.4,383.8
Complete,110,5995,75690.6,1.97838e+06,1.56834e+06,5745.6
Connected,110,2408,61900.6,1.92318e+06,593329,2337.6
Sparse,110,109,29387.6,1.9477e+06,33566.4,1139.2
Complete,160,12720,149986,4.80328e+06,3.90067e+06,3597.8
Connected,160,5008,88113.8,4.02841e+06,1.58186e+06,6622
Sparse,160,159,48020.4,3.72975e+06,46259.2,602
Complete,210,21945,192728,9.37378e+06,9.51368e+06,5304
Connected,210,8679,187930,1.02266e+07,3.24467e+06,3591.2
Sparse,210,209,97644.2,9.32337e+06,82222.8,1236.4
Complete,260,33670,280309,2.2809e+07,1.32969e+07,6280.6
Connected,260,13439,292955,2.88502e+07,5.93144e+06,3417.8
Sparse,260,259,120622,1.57545e+07,118884,797.2
Complete,310,47895,394703,3.72768e+07,2.48195e+07,7762.6
Connected,310,19112,647230,3.53322e+07,1.18413e+07,2580.2
Sparse,310,309,168654,2.81226e+07,363755,2685.8
Complete,360,64620,538732,4.45415e+07,5.28108e+07,8856.6
Connected,360,25773,486785,4.34683e+07,1.49906e+07,3349.6
Sparse,360,359,277421,3.81139e+07,249141,1190.8
Complete,410,83845,847718,8.75829e+07,7.69331e+07,5956.8
Connected,410,33504,567744,7.20182e+07,2.89742e+07,1955.2
Sparse,410,409,375994,7.86354e+07,545044,1610.2
Complete,460,105570,1.13549e+06,1.72111e+08,8.21296e+07,14335.8
Connected,460,42196,720243,8.0251e+07,2.84548e+07,4563.4
Sparse,460,459,442023,7.19251e+07,378161,3143.8
Complete,510,129795,1.03908e+06,1.08268e+08,9.2252e+07,7238.4
Connected,510,52249,791668,1.07942e+08,4.07232e+07,6958.2
Sparse,510,509,463371,9.55726e+07,630088,2949.6
Complete,560,156520,1.34334e+06,1.56835e+08,1.29766e+08,6839.2
Connected,560,62693,1.15321e+06,1.48562e+08,5.60298e+07,2246.4
Sparse,560,559,610072,1.35278e+08,572778,3881
Complete,610,185745,2.00178e+06,2.00357e+08,3.00352e+08,10117.4
Connected,610,74584,1.21604e+06,2.32344e+08,7.6421e+07,5990
Sparse,610,609,562635,2.401e+08,719334,1831
Complete,660,217470,1.751e+06,3.13939e+08,2.08453e+08,33962.8
Connected,660,86978,1.54145e+06,2.22826e+08,8.23203e+07,6271.6
Sparse,660,659,690798,1.9842e+08,900283,3390.6
Complete,710,251695,1.71994e+06,2.73511e+08,2.69232e+08,7961.6
Connected,710,101081,1.63599e+06,2.71459e+08,1.01349e+08,3655.2
Sparse,710,709,844964,2.479e+08,886651,2811
Complete,760,288420,2.38405e+06,3.34717e+08,3.45485e+08,11062.6
Connected,760,115737,1.81828e+06,3.30722e+08,1.24636e+08,2913.8
Sparse,760,759,897902,3.01168e+08,1.04588e+06,2664
Complete,810,327645,2.63532e+06,4.02369e+08,4.18736e+08,8737.8
Connected,810,131213,1.7252e+06,3.986e+08,1.50693e+08,7267.2
Sparse,810,809,969656,3.6974e+08,1.18119e+06,1018.4
Complete,860,369370,2.81169e+06,4.82329e+08,5.11263e+08,15163.8
Connected,860,148118,2.44402e+06,4.76144e+08,1.99969e+08,8263.2
Sparse,860,859,1.13313e+06,5.40274e+08,1.37156e+06,1712.4
Complete,910,413595,2.87919e+06,5.651e+08,6.09858e+08,12959
Connected,910,165462,2.40693e+06,6.0127e+08,2.29273e+08,10776.2
Sparse,910,909,1.38243e+06,6.09663e+08,1.87692e+06,8147
Complete,960,460320,3.54799e+06,9.02781e+08,9.14634e+08,19133.2
Connected,960,183609,2.60349e+06,6.7824e+08,2.67823e+08,4266.2
Sparse,960,959,1.40529e+06,6.36106e+08,1.8825e+06,3687.4
Complete,1010,509545,3.84307e+06,8.40209e+08,8.81168e+08,9512.4
Connected,1010,203498,2.78161e+06,8.64548e+08,3.25359e+08,5145.4
Sparse,1010,1009,1.74653e+06,8.23966e+08,2.36287e+06,5277.4
