type; algorithm; size; operations
рандом от 0 до 5;50;3549;
рандом от 0 до 5;50;6125;
рандом от 0 до 5;50;7888;
рандом от 0 до 5;50;10496;
рандом от 0 до 5;50;977;
рандом от 0 до 5;50;4493;
рандом от 0 до 5;50;2244;
рандом от 0 до 5;50;4137;
рандом от 0 до 5;50;1327;
рандом от 0 до 5;50;1682;
рандом от 0 до 5;50;3886;
рандом от 0 до 5;50;1169;
рандом от 0 до 5;50;1225;
рандом от 0 до 5;100;12851;
рандом от 0 до 5;100;24750;
рандом от 0 до 5;100;29373;
рандом от 0 до 5;100;43928;
рандом от 0 до 5;100;1927;
рандом от 0 до 5;100;10643;
рандом от 0 до 5;100;9624;
рандом от 0 до 5;100;9424;
рандом от 0 до 5;100;3539;
рандом от 0 до 5;100;2332;
рандом от 0 до 5;100;15254;
рандом от 0 до 5;100;2660;
рандом от 0 до 5;100;2947;
рандом от 0 до 5;150;29928;
рандом от 0 до 5;150;55875;
рандом от 0 до 5;150;65500;
рандом от 0 до 5;150;101056;
рандом от 0 до 5;150;2877;
рандом от 0 до 5;150;16828;
рандом от 0 до 5;150;24244;
рандом от 0 до 5;150;15069;
рандом от 0 до 5;150;6697;
рандом от 0 до 5;150;2982;
рандом от 0 до 5;150;34161;
рандом от 0 до 5;150;4268;
рандом от 0 до 5;150;5168;
рандом от 0 до 5;200;52514;
рандом от 0 до 5;200;99500;
рандом от 0 до 5;200;119213;
рандом от 0 до 5;200;173159;
рандом от 0 до 5;200;3827;
рандом от 0 до 5;200;24302;
рандом от 0 до 5;200;42189;
рандом от 0 до 5;200;21068;
рандом от 0 до 5;200;10427;
рандом от 0 до 5;200;3632;
рандом от 0 до 5;200;60544;
рандом от 0 до 5;200;5952;
рандом от 0 до 5;200;6936;
рандом от 0 до 5;250;81980;
рандом от 0 до 5;250;155625;
рандом от 0 до 5;250;183163;
рандом от 0 до 5;250;282168;
рандом от 0 до 5;250;4777;
рандом от 0 до 5;250;30486;
рандом от 0 до 5;250;67624;
рандом от 0 до 5;250;27006;
рандом от 0 до 5;250;15981;
рандом от 0 до 5;250;4282;
рандом от 0 до 5;250;94423;
рандом от 0 до 5;250;7976;
рандом от 0 до 5;250;8865;
рандом от 0 до 5;300;119931;
рандом от 0 до 5;300;224250;
рандом от 0 до 5;300;259685;
рандом от 0 до 5;300;408844;
рандом от 0 до 5;300;5727;
рандом от 0 до 5;300;38442;
рандом от 0 до 5;300;100624;
рандом от 0 до 5;300;33476;
рандом от 0 до 5;300;20521;
рандом от 0 до 5;300;4932;
рандом от 0 до 5;300;135820;
рандом от 0 до 5;300;9744;
рандом от 0 до 5;300;12056;
рандом от 0 до 4000;50;3549;
рандом от 0 до 4000;50;6125;
рандом от 0 до 4000;50;7888;
рандом от 0 до 4000;50;10496;
рандом от 0 до 4000;50;977;
рандом от 0 до 4000;50;4493;
рандом от 0 до 4000;50;2244;
рандом от 0 до 4000;50;4137;
рандом от 0 до 4000;50;1327;
рандом от 0 до 4000;50;1682;
рандом от 0 до 4000;50;3886;
рандом от 0 до 4000;50;1169;
рандом от 0 до 4000;50;1225;
рандом от 0 до 4000;100;12851;
рандом от 0 до 4000;100;24750;
рандом от 0 до 4000;100;29373;
рандом от 0 до 4000;100;43928;
рандом от 0 до 4000;100;1927;
рандом от 0 до 4000;100;10643;
рандом от 0 до 4000;100;9624;
рандом от 0 до 4000;100;9424;
рандом от 0 до 4000;100;3539;
рандом от 0 до 4000;100;2332;
рандом от 0 до 4000;100;15254;
рандом от 0 до 4000;100;2660;
рандом от 0 до 4000;100;2947;
рандом от 0 до 4000;150;29928;
рандом от 0 до 4000;150;55875;
рандом от 0 до 4000;150;65500;
рандом от 0 до 4000;150;101056;
рандом от 0 до 4000;150;2877;
рандом от 0 до 4000;150;16828;
рандом от 0 до 4000;150;24244;
рандом от 0 до 4000;150;15069;
рандом от 0 до 4000;150;6697;
рандом от 0 до 4000;150;2982;
рандом от 0 до 4000;150;34161;
рандом от 0 до 4000;150;4268;
рандом от 0 до 4000;150;5168;
рандом от 0 до 4000;200;52514;
рандом от 0 до 4000;200;99500;
рандом от 0 до 4000;200;119213;
рандом от 0 до 4000;200;173159;
рандом от 0 до 4000;200;3827;
рандом от 0 до 4000;200;24302;
рандом от 0 до 4000;200;42189;
рандом от 0 до 4000;200;21068;
рандом от 0 до 4000;200;10427;
рандом от 0 до 4000;200;3632;
рандом от 0 до 4000;200;60544;
рандом от 0 до 4000;200;5952;
рандом от 0 до 4000;200;6936;
рандом от 0 до 4000;250;81980;
рандом от 0 до 4000;250;155625;
рандом от 0 до 4000;250;183163;
рандом от 0 до 4000;250;282168;
рандом от 0 до 4000;250;4777;
рандом от 0 до 4000;250;30486;
рандом от 0 до 4000;250;67624;
рандом от 0 до 4000;250;27006;
рандом от 0 до 4000;250;15981;
рандом от 0 до 4000;250;4282;
рандом от 0 до 4000;250;94423;
рандом от 0 до 4000;250;7976;
рандом от 0 до 4000;250;8865;
рандом от 0 до 4000;300;119931;
рандом от 0 до 4000;300;224250;
рандом от 0 до 4000;300;259685;
рандом от 0 до 4000;300;408844;
рандом от 0 до 4000;300;5727;
рандом от 0 до 4000;300;38442;
рандом от 0 до 4000;300;100624;
рандом от 0 до 4000;300;33476;
рандом от 0 до 4000;300;20521;
рандом от 0 до 4000;300;4932;
рандом от 0 до 4000;300;135820;
рандом от 0 до 4000;300;9744;
рандом от 0 до 4000;300;12056;
почти отсортирован;50;1855;
почти отсортирован;50;6125;
почти отсортирован;50;11125;
почти отсортирован;50;402;
почти отсортирован;50;1153;
почти отсортирован;50;5554;
почти отсортирован;50;294;
почти отсортирован;50;4279;
почти отсортирован;50;5440;
почти отсортирован;50;1774;
почти отсортирован;50;3776;
почти отсортирован;50;829;
почти отсортирован;50;1015;
почти отсортирован;100;4407;
почти отсортирован;100;24750;
почти отсортирован;100;44750;
почти отсортирован;100;802;
почти отсортирован;100;2303;
почти отсортирован;100;12942;
почти отсортирован;100;594;
почти отсортирован;100;9728;
почти отсортирован;100;20890;
почти отсортирован;100;2524;
почти отсортирован;100;15051;
почти отсортирован;100;2044;
почти отсортирован;100;2515;
почти отсортирован;150;7211;
почти отсортирован;150;55875;
почти отсортирован;150;100875;
почти отсортирован;150;1202;
почти отсортирован;150;3453;
почти отсортирован;150;21142;
почти отсортирован;150;894;
почти отсортирован;150;15593;
почти отсортирован;150;46340;
почти отсортирован;150;3274;
почти отсортирован;150;33826;
почти отсортирован;150;3384;
почти отсортирован;150;4520;
почти отсортирован;200;10211;
почти отсортирован;200;99500;
почти отсортирован;200;179500;
почти отсортирован;200;1602;
почти отсортирован;200;4603;
почти отсортирован;200;29708;
почти отсортирован;200;1194;
почти отсортирован;200;21776;
почти отсортирован;200;81790;
почти отсортирован;200;4024;
почти отсортирован;200;60101;
почти отсортирован;200;4884;
почти отсортирован;200;6015;
почти отсортирован;250;13211;
почти отсортирован;250;155625;
почти отсортирован;250;280625;
почти отсортирован;250;2002;
почти отсортирован;250;5753;
почти отсортирован;250;38418;
почти отсортирован;250;1494;
почти отсортирован;250;27925;
почти отсортирован;250;127240;
почти отсортирован;250;4774;
почти отсортирован;250;93876;
почти отсортирован;250;6384;
почти отсортирован;250;7530;
почти отсортирован;300;16684;
почти отсортирован;300;224250;
почти отсортирован;300;404083;
почти отсортирован;300;4889;
почти отсортирован;300;14947;
почти отсортирован;300;47707;
почти отсортирован;300;1959;
почти отсортирован;300;34615;
почти отсортирован;300;181485;
почти отсортирован;300;9782;
почти отсортирован;300;135217;
почти отсортирован;300;8016;
почти отсортирован;300;10619;
обратно отсортирован;50;7798;
обратно отсортирован;50;6125;
обратно отсортирован;50;198;
обратно отсортирован;50;13681;
обратно отсортирован;50;1153;
обратно отсортирован;50;4376;
обратно отсортирован;50;6419;
обратно отсортирован;50;3840;
обратно отсортирован;50;4190;
обратно отсортирован;50;3250;
обратно отсортирован;50;4426;
обратно отсортирован;50;1289;
обратно отсортирован;50;1330;
обратно отсортирован;100;28758;
обратно отсортирован;100;24750;
обратно отсортирован;100;398;
обратно отсортирован;100;54856;
обратно отсортирован;100;2303;
обратно отсортирован;100;10600;
обратно отсортирован;100;25344;
