type; size; time
рандом от 0 до 5;50;5566;
рандом от 0 до 5;50;16112;
рандом от 0 до 5;50;19698;
рандом от 0 до 5;50;17607;
рандом от 0 до 5;50;4461;
рандом от 0 до 5;50;7809;
рандом от 0 до 5;50;6134;
рандом от 0 до 5;50;8866;
рандом от 0 до 5;50;4505;
рандом от 0 до 5;50;4391;
рандом от 0 до 5;50;10291;
рандом от 0 до 5;50;3140;
рандом от 0 до 5;50;3381;
рандом от 0 до 5;100;19031;
рандом от 0 до 5;100;78330;
рандом от 0 до 5;100;76997;
рандом от 0 до 5;100;81913;
рандом от 0 до 5;100;7982;
рандом от 0 до 5;100;21345;
рандом от 0 до 5;100;19312;
рандом от 0 до 5;100;15494;
рандом от 0 до 5;100;10756;
рандом от 0 до 5;100;4550;
рандом от 0 до 5;100;39643;
рандом от 0 до 5;100;6451;
рандом от 0 до 5;100;7087;
рандом от 0 до 5;150;43171;
рандом от 0 до 5;150;177907;
рандом от 0 до 5;150;568331;
рандом от 0 до 5;150;246361;
рандом от 0 до 5;150;6687;
рандом от 0 до 5;150;33676;
рандом от 0 до 5;150;41045;
рандом от 0 до 5;150;21162;
рандом от 0 до 5;150;29318;
рандом от 0 до 5;150;5714;
рандом от 0 до 5;150;83805;
рандом от 0 до 5;150;12998;
рандом от 0 до 5;150;10668;
рандом от 0 до 5;200;82114;
рандом от 0 до 5;200;330560;
рандом от 0 до 5;200;315341;
рандом от 0 до 5;200;603641;
рандом от 0 до 5;200;19299;
рандом от 0 до 5;200;46520;
рандом от 0 до 5;200;103879;
рандом от 0 до 5;200;39810;
рандом от 0 до 5;200;30544;
рандом от 0 до 5;200;4249;
рандом от 0 до 5;200;146092;
рандом от 0 до 5;200;16550;
рандом от 0 до 5;200;17166;
рандом от 0 до 5;250;130391;
рандом от 0 до 5;250;1013457;
рандом от 0 до 5;250;763777;
рандом от 0 до 5;250;545704;
рандом от 0 до 5;250;19158;
рандом от 0 до 5;250;62049;
рандом от 0 до 5;250;141777;
рандом от 0 до 5;250;47810;
рандом от 0 до 5;250;60187;
рандом от 0 до 5;250;12566;
рандом от 0 до 5;250;441234;
рандом от 0 до 5;250;42033;
рандом от 0 до 5;250;28169;
рандом от 0 до 5;300;249968;
рандом от 0 до 5;300;738292;
рандом от 0 до 5;300;1709662;
рандом от 0 до 5;300;1251634;
рандом от 0 до 5;300;22115;
рандом от 0 до 5;300;81268;
рандом от 0 до 5;300;205296;
рандом от 0 до 5;300;54465;
рандом от 0 до 5;300;60106;
рандом от 0 до 5;300;12202;
рандом от 0 до 5;300;337073;
рандом от 0 до 5;300;25114;
рандом от 0 до 5;300;38798;
рандом от 0 до 4000;50;5506;
рандом от 0 до 4000;50;19859;
рандом от 0 до 4000;50;12776;
рандом от 0 до 4000;50;10369;
рандом от 0 до 4000;50;4004;
рандом от 0 до 4000;50;10258;
рандом от 0 до 4000;50;4715;
рандом от 0 до 4000;50;5412;
рандом от 0 до 4000;50;4286;
рандом от 0 до 4000;50;2580;
рандом от 0 до 4000;50;9755;
рандом от 0 до 4000;50;2908;
рандом от 0 до 4000;50;3062;
рандом от 0 до 4000;100;15866;
рандом от 0 до 4000;100;72941;
рандом от 0 до 4000;100;66188;
рандом от 0 до 4000;100;61597;
рандом от 0 до 4000;100;6455;
рандом от 0 до 4000;100;19752;
рандом от 0 до 4000;100;19531;
рандом от 0 до 4000;100;27630;
рандом от 0 до 4000;100;12950;
рандом от 0 до 4000;100;4111;
рандом от 0 до 4000;100;25711;
рандом от 0 до 4000;100;9704;
рандом от 0 до 4000;100;10812;
рандом от 0 до 4000;150;101873;
рандом от 0 до 4000;150;206936;
рандом от 0 до 4000;150;258715;
рандом от 0 до 4000;150;145714;
рандом от 0 до 4000;150;9141;
рандом от 0 до 4000;150;17954;
рандом от 0 до 4000;150;34158;
рандом от 0 до 4000;150;19830;
рандом от 0 до 4000;150;20733;
рандом от 0 до 4000;150;6019;
рандом от 0 до 4000;150;80892;
рандом от 0 до 4000;150;10815;
рандом от 0 до 4000;150;14235;
рандом от 0 до 4000;200;48071;
рандом от 0 до 4000;200;207217;
рандом от 0 до 4000;200;218866;
рандом от 0 до 4000;200;318090;
рандом от 0 до 4000;200;10590;
рандом от 0 до 4000;200;31460;
рандом от 0 до 4000;200;727633;
рандом от 0 до 4000;200;32524;
рандом от 0 до 4000;200;37262;
рандом от 0 до 4000;200;8724;
рандом от 0 до 4000;200;147706;
рандом от 0 до 4000;200;16064;
рандом от 0 до 4000;200;16733;
рандом от 0 до 4000;250;81531;
рандом от 0 до 4000;250;486172;
рандом от 0 до 4000;250;768904;
рандом от 0 до 4000;250;542061;
рандом от 0 до 4000;250;21236;
рандом от 0 до 4000;250;58788;
рандом от 0 до 4000;250;142978;
рандом от 0 до 4000;250;47610;
рандом от 0 до 4000;250;52342;
рандом от 0 до 4000;250;9292;
рандом от 0 до 4000;250;248184;
рандом от 0 до 4000;250;24771;
рандом от 0 до 4000;250;25111;
рандом от 0 до 4000;300;193613;
рандом от 0 до 4000;300;744335;
рандом от 0 до 4000;300;699849;
рандом от 0 до 4000;300;807860;
рандом от 0 до 4000;300;23138;
рандом от 0 до 4000;300;91455;
рандом от 0 до 4000;300;278919;
рандом от 0 до 4000;300;56327;
рандом от 0 до 4000;300;51842;
рандом от 0 до 4000;300;9539;
рандом от 0 до 4000;300;357553;
рандом от 0 до 4000;300;27378;
рандом от 0 до 4000;300;35803;
почти отсортирован;50;3410;
почти отсортирован;50;13169;
почти отсортирован;50;29452;
почти отсортирован;50;501;
почти отсортирован;50;5302;
почти отсортирован;50;10011;
почти отсортирован;50;650;
почти отсортирован;50;7059;
почти отсортирован;50;29880;
почти отсортирован;50;3064;
почти отсортирован;50;11832;
почти отсортирован;50;2093;
почти отсортирован;50;2525;
почти отсортирован;100;7956;
почти отсортирован;100;39489;
почти отсортирован;100;119776;
почти отсортирован;100;921;
почти отсортирован;100;9301;
почти отсортирован;100;25714;
почти отсортирован;100;1220;
почти отсортирован;100;15177;
почти отсортирован;100;113431;
